Gasage (yr BP) ,CO2 (ppmv)
805668.87,207.29
805132.44,202.23
804522.67,204.86
804009.87,207.50
803925.28,202.92
803709.25,202.65
802872.09,198.66
801236.06,198.68
798681.30,200.49
797378.82,197.91
796852.59,198.79
795687.32,204.62
795122.45,208.79
793852.76,218.39
793519.39,213.36
792617.30,214.45
792030.78,224.69
791056.88,230.55
790639.41,227.38
789953.01,235.49
789494.04,238.64
788691.87,257.02
788479.24,257.20
787803.57,266.00
787355.51,269.36
786563.26,264.35
786189.60,262.23
785519.05,259.66
785034.08,255.85
784261.76,260.92
783198.53,255.02
782728.45,257.44
781886.68,251.51
781562.83,257.21
780719.44,252.52
780188.92,254.43
779367.55,254.69
779057.98,254.93
778232.79,252.46
777681.75,247.30
776782.70,248.92
776332.26,245.32
775538.01,241.74
774958.81,238.39
774044.14,239.23
773684.47,237.78
773249.82,246.03
772995.64,243.85
772737.96,246.49
772474.56,243.89
772175.26,239.71
771812.67,234.24
771519.33,236.32
771020.67,229.56
770599.15,230.63
769651.42,225.87
769061.38,221.64
768117.26,223.82
767747.16,224.86
766808.91,230.62
766188.50,232.12
765851.48,229.41
765586.64,233.66
765181.82,222.93
764676.88,223.89
763770.58,219.95
763101.80,214.00
762166.04,214.69
761864.49,216.64
760939.94,222.71
760516.06,225.62
760108.27,225.37
759878.21,223.02
759561.88,226.94
759135.69,222.72
758362.42,218.35
757785.45,213.61
756850.68,209.45
756566.17,208.10
755586.83,203.30
755114.58,199.05
753934.65,203.90
753489.07,195.43
752565.88,197.50
751973.87,193.55
751036.25,191.30
750706.44,192.08
749814.18,190.17
749262.93,188.68
748336.88,187.54
747940.20,187.95
747177.04,187.92
746619.93,190.24
745671.05,187.29
744523.14,188.97
743959.08,188.18
743062.17,187.33
742644.75,188.65
741874.13,189.14
741329.90,184.77
740460.92,183.39
740106.45,185.40
739174.56,185.61
738580.99,191.74
737660.12,204.52
737269.82,206.92
736522.22,213.14
736107.31,217.19
735409.91,217.88
735134.57,214.66
734462.62,216.15
734022.23,210.60
733329.00,207.72
732993.50,208.11
732321.75,213.73
731861.00,211.62
731184.23,210.70
730908.31,210.16
730260.31,212.17
729836.94,210.01
728987.53,211.08
728593.90,210.24
727898.50,210.07
726576.86,211.43
726249.59,211.08
725474.43,211.49
724975.36,210.48
724142.00,214.01
723780.23,212.55
722994.59,212.11
722505.81,216.10
721689.86,218.96
721407.52,219.20
720590.76,217.04
720087.29,212.03
719287.18,200.82
718778.35,193.46
717955.48,189.88
717348.27,198.43
716585.91,210.51
716310.16,213.60
715565.38,227.58
715115.73,223.14
714403.80,227.08
714065.58,227.64
713312.50,223.89
712243.73,224.00
712021.47,224.12
711399.04,225.39
710983.36,224.90
710456.45,227.03
709909.55,230.51
709453.79,231.43
708959.15,234.84
708413.45,233.11
708199.68,233.58
707643.73,233.51
707310.70,238.85
706710.74,236.05
706492.95,236.05
706053.20,237.66
705726.95,237.18
705243.91,235.09
705053.34,234.04
704581.81,233.54
704250.52,232.83
703796.07,232.28
703468.52,233.35
703009.98,230.59
702734.27,232.18
702200.92,232.16
701993.15,230.88
701524.52,232.46
701268.53,235.42
700814.84,236.61
700485.02,236.72
700103.69,237.21
699864.71,239.73
699439.02,239.01
699215.75,238.86
698753.23,241.83
698505.54,240.90
698039.00,241.03
697746.68,239.88
697342.45,238.42
697090.29,239.44
696644.83,238.13
696434.89,238.05
695981.88,238.74
695732.31,236.80
695259.26,239.80
694949.14,239.31
694536.82,240.46
694280.35,239.34
693821.29,237.76
693574.04,243.70
693077.09,238.47
692832.46,239.30
692318.34,243.56
691967.96,239.38
691467.67,238.42
691221.83,239.29
690736.39,236.45
690474.65,235.80
689951.45,232.27
689693.26,232.07
689157.83,230.67
688809.87,227.64
688300.13,227.65
688000.38,226.73
687445.50,222.97
687154.04,222.70
686581.81,222.62
686269.11,220.63
685679.87,220.62
685294.84,221.82
684758.06,224.36
684423.68,225.64
683828.75,222.70
683457.86,220.24
682740.09,219.14
682343.71,221.31
681669.93,227.90
681225.67,225.81
680627.61,233.11
680312.58,233.61
679735.17,232.70
679455.37,229.16
678741.62,220.09
678328.18,218.21
677600.74,216.59
677152.31,219.96
676530.74,222.57
675406.53,216.12
675028.40,211.69
674229.38,204.67
673696.11,201.12
672761.38,197.13
672150.88,194.79
671457.93,196.83
671070.75,194.88
670296.32,191.51
669819.30,187.66
668915.54,180.67
668415.26,177.71
667409.86,173.71
666753.36,174.77
665836.52,180.54
665321.94,180.17
664408.09,187.77
664320.40,192.55
663937.52,191.02
662877.55,190.86
662796.61,193.91
662282.18,189.69
661215.90,191.59
661118.32,193.97
660463.55,188.43
659411.90,185.68
659293.82,187.38
658764.10,184.10
657722.00,190.88
657654.21,189.23
657181.09,192.93
656132.65,200.35
655524.35,200.00
654438.65,194.82
653730.25,192.87
652708.95,186.79
652104.26,187.27
650947.10,193.44
650348.46,189.25
649191.10,196.17
648612.42,193.48
647254.85,191.85
646376.95,189.89
645150.65,195.82
644300.83,195.31
642856.65,191.56
642074.60,191.38
640372.25,190.18
639418.27,188.85
637714.37,195.33
636521.56,194.00
635009.03,194.86
634881.14,195.95
634077.54,193.10
632356.94,196.50
631526.32,200.46
629866.10,200.78
629769.85,205.27
629139.62,199.52
627830.10,205.76
626969.43,215.71
626047.50,228.51
625397.92,235.02
624496.95,237.93
623054.95,239.19
622950.73,243.89
621651.45,243.53
620283.75,245.89
618953.75,248.29
617609.57,252.64
616356.60,252.73
616299.12,252.90
615140.60,252.75
613942.80,256.19
612761.97,258.14
611600.63,259.68
611551.01,257.82
610429.50,257.74
609247.30,259.22
607979.30,254.58
606625.91,248.48
605303.15,244.53
603949.15,239.14
602600.75,237.86
601255.15,232.45
599814.63,229.38
599218.22,225.97
598329.75,219.02
597803.61,216.27
596791.13,216.44
596221.56,221.22
595436.47,232.92
594863.81,237.98
594046.75,238.15
593561.25,233.16
592785.52,229.39
592383.47,225.68
591019.47,237.38
590488.80,243.56
590040.15,248.10
589425.35,250.20
588940.90,246.35
588279.35,238.78
587888.67,234.40
587171.85,225.99
586720.84,223.96
583958.80,210.64
583574.25,206.68
582836.30,209.88
582454.53,215.45
581928.30,219.41
581546.53,225.21
581118.65,230.26
580814.00,236.17
580401.78,243.81
580210.50,244.14
579833.12,251.47
579280.55,252.92
578742.35,249.06
578196.35,251.08
577653.85,251.34
577115.10,251.30
576599.10,252.90
576112.85,252.54
575654.53,248.86
575233.96,252.08
574806.00,251.86
574364.65,251.77
573913.02,248.72
573475.75,249.19
573053.52,247.66
572669.87,246.31
572315.50,250.30
571974.69,251.60
571633.36,249.60
571261.44,251.80
570862.13,251.80
570463.46,251.30
570067.25,250.00
569683.93,251.30
569314.59,250.20
568930.15,253.00
568534.24,252.80
568204.14,253.90
567884.89,253.20
567548.65,254.50
567239.49,253.90
566918.35,254.30
566588.64,253.70
566245.30,251.40
565895.64,252.60
565538.96,252.40
565134.30,251.40
564724.36,247.60
564310.56,245.80
563927.90,245.70
563535.74,242.30
563134.85,240.10
562655.60,234.10
562310.49,234.60
561888.07,231.90
561450.74,231.60
560965.60,228.30
560436.62,230.30
559872.62,230.20
559636.76,229.70
559316.01,234.50
558777.69,238.10
558306.02,240.40
558154.56,245.60
557838.21,250.50
557657.14,244.00
557385.05,249.10
557198.65,243.00
556923.29,241.00
556407.02,233.90
555842.35,226.70
555158.35,224.30
554479.62,223.60
553808.65,220.30
553619.39,222.10
553245.99,226.30
553020.92,222.30
552681.56,221.70
552111.09,219.90
551381.09,215.20
550582.55,213.60
550230.73,208.80
549720.11,202.50
548770.78,204.60
547806.68,209.70
546830.15,209.60
545864.91,210.30
544885.99,208.10
543844.87,203.60
542740.21,205.00
541653.82,211.20
540583.82,212.90
539513.82,206.40
538440.76,205.00
537334.47,199.40
536178.47,199.80
535695.05,190.50
535043.56,193.80
534668.18,195.10
533932.24,200.00
533554.37,204.40
532987.57,211.40
532592.53,214.50
532078.76,220.70
531201.38,220.30
