Year(BP),Temperature Anomoly
820093.9,-5.99
819303.1,-5.99
818505.5,-6.09
817693.6,-6.19
816871.6,-6.39
816037.8,-6.49
815229.1,-6.19
814422.8,-6.19
813607.6,-6.29
812783.5,-6.39
811949.6,-6.49
811085.2,-6.89
810202.4,-7.09
809348.4,-6.69
808416.7,-7.69
807447.6,-8.09
806515.2,-7.69
805574.1,-7.79
804662.5,-7.39
803718.9,-7.79
802779.6,-7.79
801833.2,-7.79
800918.2,-7.49
800028.2,-7.19
799211.9,-6.29
798456.8,-5.49
797744.7,-4.89
797050.9,-4.69
796391.3,-4.19
795777.1,-3.39
795195.6,-2.89
794644.6,-2.29
794117,-1.89
793599.1,-1.69
793109.2,-1.09
792652.8,-0.39
792214.4,0.01
791752.5,-0.49
791288.1,-0.59
790817.8,-0.69
790320.5,-1.29
789819.2,-1.39
789303.2,-1.69
788795.9,-1.49
788266.9,-1.89
787732.1,-2.09
787207.4,-1.89
786684,-1.79
786158.7,-1.89
785625,-1.99
785073.8,-2.39
784521.7,-2.39
783970.2,-2.39
783404.2,-2.59
782809.1,-3.19
782193.2,-3.49
781550.8,-3.99
780893.6,-4.19
780253.6,-3.89
779634.2,-3.59
779044.7,-3.09
778434.8,-3.39
777785.6,-4.09
777088.8,-4.79
776349.4,-5.39
775584.8,-5.79
774841.4,-5.49
774152.1,-4.69
773489.3,-4.29
772851,-3.89
772200.1,-4.09
771531.9,-4.39
770827,-4.99
770063.6,-5.79
769265.5,-6.19
768453,-6.39
767658,-6.19
766927,-5.29
766215.2,-5.09
765520,-4.79
764851.2,-4.49
764213.3,-3.99
763542.4,-4.49
762813.4,-5.39
762014.5,-6.29
761191.4,-6.59
760349,-6.79
759484.1,-7.09
758608.2,-7.29
757723.9,-7.39
756837.2,-7.39
755937.5,-7.49
755039.3,-7.49
754148.2,-7.39
753271.9,-7.29
752383.6,-7.39
751492.5,-7.39
750591.2,-7.59
749695.2,-7.49
748821.2,-7.19
747919.1,-7.59
747022.4,-7.49
746137.8,-7.39
745227.4,-7.69
744298.2,-7.89
743359.9,-7.99
742455.4,-7.59
741564.7,-7.39
740672.8,-7.49
739788.8,-7.39
738913.9,-7.29
738083.7,-6.69
737299.4,-6.19
736603.1,-4.89
735935.8,-4.49
735307.6,-3.89
734650.8,-4.39
734027.6,-3.79
733450.4,-2.99
732800.9,-4.29
732201.8,-3.39
731589.6,-3.69
730962.5,-3.99
730376.1,-3.19
729769.4,-3.59
729163.5,-3.59
728524.8,-4.19
727804,-5.39
727076.2,-5.49
726410.6,-4.59
725748.9,-4.59
725060,-4.99
724362.2,-5.09
723651.1,-5.29
722946.6,-5.19
722234.1,-5.39
721590.3,-4.29
720904.2,-4.99
720147.4,-5.99
719466.6,-4.89
718791,-4.79
717953.6,-7.09
717172.3,-6.29
716410.1,-6.09
715756,-4.49
715025.3,-5.69
714373.6,-4.49
713735.3,-4.29
713087.1,-4.49
712495.1,-3.49
711915.1,-3.29
711340.7,-3.19
710723.2,-3.99
710130.1,-3.59
709543.8,-3.49
708960.2,-3.39
708373.6,-3.49
707796.8,-3.29
707213.8,-3.39
706659.1,-2.89
706101.8,-2.99
705538.7,-3.09
704973.4,-3.09
704405.8,-3.19
703852.8,-2.89
703312.6,-2.69
702773.1,-2.69
702241.4,-2.59
701723.2,-2.29
701220.8,-1.99
700722.9,-1.89
700219,-2.09
699719.5,-1.99
699237.8,-1.59
698767.7,-1.39
698280.3,-1.79
697786.1,-1.89
697285.6,-2.09
696770.4,-2.39
696267.5,-2.09
695761.8,-2.19
695269.4,-1.89
694792,-1.59
694317.1,-1.49
693839.4,-1.59
693365.3,-1.49
692894.3,-1.39
692414.2,-1.59
691937,-1.49
691469.6,-1.19
690996.3,-1.29
690515.4,-1.49
690032,-1.49
689551.9,-1.39
689062.2,-1.59
688572.1,-1.59
688093.3,-1.39
687595.1,-1.79
687114.8,-1.39
686649.6,-1.09
686155.3,-1.69
685644.8,-2.09
685145.4,-1.79
