Year,Anomoly
-50.0,0.91
-43.55977,0.91
-37.44019,0.91
-31.64156,0.91
-24.55278,0.91
-17.78422,0.91
-11.01305,0.91
-3.2703,0.91
5.447842,0.91
13.52999,0.91
22.27284,0.91
30.70987,0.91
38.51757,0.91
47.00211,1.81
55.20552,3.01
64.43646,0.31
73.05573,-0.39
81.72349,0.01
90.43857,0.01
99.70485,-0.49
109.8195,0.81
119.2176,-0.59
129.3916,-1.09
139.9534,0.41
150.1377,-0.39
160.6797,1.01
171.2088,0.31
181.7194,-0.69
191.8325,-1.19
202.293,0.51
212.5394,-2.39
223.471,0.41
233.9967,0.81
244.8395,0.71
255.6953,0.01
266.864,-0.09
277.9812,-1.39
289.4143,-0.29
301.1585,0.21
312.545,-1.19
323.9099,-0.39
335.5896,-0.59
346.8579,0.01
358.6178,-0.69
370.9679,-0.89
382.9111,-1.49
395.2021,-0.49
407.2843,-0.09
418.6733,0.21
430.4257,-1.69
442.5554,0.21
454.3007,0.11
466.2551,-0.59
478.2794,-0.79
490.3924,0.41
503.0865,-2.39
516.0368,-0.89
529.475,-0.39
542.6268,1.31
555.8396,0.71
568.3494,-0.79
580.9313,1.41
593.5725,-0.89
606.2219,-0.79
619.1082,1.51
631.65,1.01
644.5452,0.31
657.9103,-0.99
672.1189,-0.59
686.6481,-0.59
700.6882,-0.49
715.2436,-0.99
729.5808,-1.39
744.6373,-0.89
759.2383,-0.09
772.3893,-0.19
785.8553,0.31
798.9567,0.01
812.1401,0.61
824.3588,0.91
836.5675,1.21
848.7663,1.51
861.5453,-0.99
875.4421,0.61
889.3285,-1.39
903.5693,0.91
917.8998,-0.99
932.2836,-0.69
947.0249,-0.49
960.9822,-0.69
975.4282,0.41
989.8635,-0.39
1004.288,-0.39
1018.508,-0.89
1032.268,0.21
1046.723,1.01
1060.862,0.41
1075.176,-0.69
1089.481,-0.79
1104.135,0.71
1118.228,-0.49
1132.48,1.61
1146.385,-0.89
1160.21,-0.29
1173.811,0.91
1187.738,1.01
1201.327,0.91
1215.092,-0.49
1229.273,0.61
1243.449,0.41
1258.053,0.31
1272.603,-0.09
1287.152,-0.29
1302.045,1.21
1315.817,0.21
1330.151,0.91
1344.162,-0.09
1357.836,1.61
1371.821,0.91
1385.811,-0.09
1399.806,0.01
1415.617,-0.49
1431.53,-0.69
1447.451,-0.39
1462.64,1.11
1478.122,-0.89
1493.617,-0.29
1509.198,-0.49
1524.834,-0.19
1540.486,0.91
1556.402,-0.89
1571.892,0.11
1587.755,0.31
1603.929,-1.09
1620.539,-0.79
1637.175,0.81
1653.893,-1.19
1669.896,0.41
1685.574,0.41
1701.843,-0.79
1719.291,-0.49
1736.397,-0.09
1753.243,0.11
1769.379,0.61
1785.877,-1.39
1802.735,0.31
1820.513,-0.99
1837.917,-0.99
1854.906,0.41
1871.526,-0.99
1888.512,1.81
1905.122,0.01
1921.089,0.01
1936.711,-0.39
1953.737,0.21
1970.831,-0.29
1987.929,-0.69
2005.404,-0.99
2023.194,0.01
2041.366,-0.89
2058.349,1.71
2075.403,-0.69
2092.459,-0.69
2109.946,0.51
2127.17,-0.59
2144.764,-0.29
2162.928,-0.99
2181.506,-0.39
2199.454,-0.39
2216.423,0.21
2233.749,0.91
2250.719,0.31
2268.024,-0.29
2285.687,0.21
2304.155,-1.99
2324.155,-1.39
2344.158,-0.59
2363.171,-0.79
2381.69,-0.89
2400.787,-1.89
2420.419,-0.69
2440.054,0.01
2459.158,-0.59
2477.49,-0.59
2496.178,0.21
2513.759,-0.39
2530.991,1.01
2548.615,-0.09
2566.453,0.61
2584.294,-0.69
2601.936,0.41
2619.218,0.91
2636.503,0.11
2654.309,-0.09
2673.049,-0.49
2691.426,-0.09
2709.281,-0.79
2727.333,1.31
2745.035,1.01
2761.538,0.91
2777.985,1.01
2794.765,0.11
2811.569,1.41
2828.377,1.21
2845.188,1.21
2863.372,0.11
2880.88,-0.59
2898.493,-0.89
2916.62,0.61
2935.475,0.41
2954.216,-0.29
2973.25,-0.79
2992.287,0.11
3010.929,-0.39
3029.481,0.21
3047.953,0.21
3065.873,0.01
3083.797,0.71
3101.805,1.01
3119.333,1.31
3136.864,-1.39
3156.241,-0.79
3177.139,-1.19
3198.229,0.71
3217.67,-0.69
3237.115,-1.69
3257.018,0.51
3276.601,-0.69
3296.536,-0.99
3315.728,0.81
3335.292,-0.59
3355.269,-1.39
3375.293,0.11
3395.691,-0.19
3415.309,-0.39
3434.932,-0.09
3454.226,0.11
3472.768,0.51
3491.67,-0.99
3510.318,1.41
3528.914,0.21
3547.602,-0.19
3566.928,0.21
3586.616,-0.59
3605.297,1.01
3623.431,0.91
3641.569,0.31
3659.503,0.71
3677.719,1.11
3695.606,-0.89
3713.807,1.51
3732.356,1.41
3750.828,-1.49
3770.297,1.21
3789.41,0.21
3808.621,0.41
3828.24,-0.59
3847.506,-0.79
3867.16,0.81
3886.813,0.01
3906.291,-0.39
3926.29,-0.09
3946.279,-0.29
3965.551,0.51
3985.184,-0.49
4004.712,-0.49
4023.769,0.91
4043.189,0.91
4062.473,-0.99
4081.742,1.01
4100.982,0.91
4119.779,-0.49
4138.935,-0.29
4158.16,0.21
4177.41,0.61
4196.69,-1.39
4216.299,0.81
4235.912,1.41
4254.808,-0.09
4273.049,1.51
4291.295,-0.39
4311.389,-0.89
4331.952,0.11
4352.055,0.41
4371.293,0.21
4390.536,-0.19
4410.467,-0.79
4430.602,0.51
4450.283,1.51
4468.793,-0.29
4487.643,0.91
4506.99,-0.59
4526.883,-0.29
4546.795,-0.69
4566.824,0.21
4586.851,0.31
4606.959,0.41
4626.514,-0.39
4646.086,0.11
4665.821,0.01
4685.918,-0.19
4705.503,1.11
4724.971,-0.59
4744.443,-1.09
4765.613,-0.09
4786.405,-0.19
4807.201,-0.99
4828.386,-0.19
4848.799,0.81
4867.695,0.41
4886.938,0.01
4906.053,0.11
4925.329,0.51
4944.966,1.11
4964.337,-0.29
4983.706,-0.49
5003.803,-0.19
5023.971,-0.09
5044.142,0.51
5064.538,-0.79
5084.561,-0.09
5104.659,0.01
5124.103,0.41
5143.911,0.71
5162.511,0.81
5181.065,0.41
5200.425,-0.29
5220.527,0.01
5241.007,-1.19
5261.212,-0.09
5281.809,0.91
5301.296,0.01
5320.341,0.91
5339.041,-0.09
5358.3,0.21
5377.271,0.71
5397.244,-1.89
5419.297,-0.89
5441.759,-1.09
5462.486,0.11
5483.554,-1.09
5505.312,-1.99
5528.154,-0.59
5548.994,0.21
5567.914,1.41
5586.492,-0.09
5606.294,0.31
5625.928,-0.49
5645.956,0.11
5665.678,0.01
5685.76,-0.79
5705.844,0.81
5725.564,-0.59
5745.263,1.61
5764.035,-0.49
5783.149,1.11
5801.663,1.21
5820.458,-0.79
5839.274,0.51
5857.825,0.81
5876.713,0.51
5896.115,-0.29
5916.514,-0.69
5936.72,-0.49
5958.378,-1.29
5980.031,-0.29
5999.476,0.71
6018.945,0.21
6038.733,-0.19
6058.818,-0.59
6079.269,0.31
6098.723,0.71
6118.461,-1.29
6138.343,1.01
6158.061,-0.69
6178.139,-0.29
6198.542,-0.49
6218.59,0.31
6239.261,-0.39
6259.763,-0.99
6280.476,0.51
6300.342,0.01
6319.849,-1.09
6341.096,-1.29
6362.943,-0.09
6384.196,-1.09
6405.572,-0.49
6426.706,-0.19
6445.656,1.01
6464.951,0.11
6485.799,-1.49
6507.348,-1.09
6528.572,1.11
6548.256,-0.19
6567.575,-0.99
6589.1,-0.49
6610.998,-1.99
6632.398,0.01
6654.114,-1.19
6675.613,-1.69
6696.223,0.91
6717.217,0.51
6737.232,0.01
6756.85,-1.19
6777.976,-0.99
6800.074,-0.89
6821.476,-0.79
6842.567,-0.29
6863.65,1.01
6882.303,0.01
6900.514,1.31
6919.705,-0.39
6940.131,-0.49
6960.178,-0.89
6981.003,-0.19
7001.862,0.01
7022.629,-1.09
7043.986,-0.69
7065.288,-0.39
7086.444,-0.79
7107.219,-0.89
7128.452,-0.09
7149.687,-1.59
7172.653,-2.69
7197.088,-0.99
7219.957,-0.59
7241.901,-1.49
7263.706,-1.29
7286.294,-1.09
7308.123,-0.09
7327.17,1.21
7346.564,-0.49
7368.109,-1.79
7390.416,-0.69
7412.495,-1.49
7435.148,-1.39
7457.3,0.11
7478.614,-1.19
7499.581,-1.49
7521.442,-0.59
7543.294,0.31
