Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-390.9,0.88
-385.1,1.84
-377.8,3.04
-394.1,0.35
-398.7,-0.42
-395.9,0.05
-395.9,0.05
-399.3,-0.52
-391.4,0.79
-399.5,-0.55
-402.9,-1.11
-393.9,0.38
-398.6,-0.40
-389.8,1.05
-394.5,0.28
-400.5,-0.72
-403.6,-1.23
-393.1,0.51
-410.9,-2.44
-393.6,0.42
-391.1,0.84
-391.9,0.71
-396.3,-0.02
-397,-0.14
-404.7,-1.41
-398.2,-0.34
-395.2,0.16
-403.5,-1.22
-398.6,-0.41
-399.7,-0.59
-396,0.03
-400.2,-0.67
-401.6,-0.90
-405.4,-1.53
-399,-0.47
-396.9,-0.12
-394.9,0.21
-406.6,-1.73
-395.2,0.16
-395.3,0.14
-399.5,-0.56
-401,-0.80
-393.6,0.42
-410.4,-2.36
-401.3,-0.85
-398.3,-0.36
-388.5,1.26
-391.9,0.70
-400.8,-0.77
-387.7,1.40
-401.4,-0.87
-401,-0.81
-387.3,1.46
-390.2,0.98
-394.5,0.27
-401.9,-0.96
-399.8,-0.61
-399.9,-0.63
-399.1,-0.49
-401.9,-0.96
-404.8,-1.44
-401.6,-0.91
-396.7,-0.10
-397.1,-0.16
-394.2,0.32
-395.9,0.03
-392.7,0.56
-390.4,0.94
-389,1.17
-387,1.50
-402.3,-1.03
-392.5,0.59
-404.6,-1.41
-390.5,0.92
-402.3,-1.03
-400.1,-0.67
-399.4,-0.55
-400.6,-0.75
-393.8,0.38
-398.5,-0.40
-398.7,-0.44
-401.8,-0.95
-395.2,0.14
-390.1,0.99
-393.9,0.36
-400.6,-0.75
-400.9,-0.80
-391.7,0.72
-399.3,-0.54
-386.7,1.55
-401.5,-0.90
-398.1,-0.34
-390.4,0.93
-389.8,1.03
-390.7,0.88
-399.3,-0.54
-392.5,0.58
-393.8,0.37
-394.4,0.27
-397,-0.16
-397.8,-0.30
-388.6,1.23
-394.7,0.22
-390.6,0.89
-397,-0.17
-386.6,1.55
-390.6,0.89
-397,-0.17
-396.1,-0.02
-398.9,-0.48
-400.2,-0.70
