year,AnnualMean,Anomoly
1900,9.3,-0.27
1901,9.1,-0.47
1902,9.2,-0.37
1903,9.1,-0.47
1904,9.1,-0.47
1905,9.3,-0.27
1906,9.3,-0.27
1907,9.0,-0.57
1908,9.7,0.13
1909,8.9,-0.67
1910,9.2,-0.37
1911,9.6,0.03
1912,9.2,-0.37
1913,9.4,-0.17
1914,9.6,0.03
1915,9.0,-0.57
1916,9.3,-0.27
1917,8.8,-0.77
1918,9.5,-0.07
1919,8.7,-0.87
1920,9.5,-0.07
1921,10.5,0.93
1922,9.0,-0.57
1923,9.2,-0.37
1924,9.4,-0.17
1925,9.1,-0.47
1926,9.8,0.23
1927,9.4,-0.17
1928,9.6,0.03
1929,9.4,-0.17
1930,9.2,-0.37
1931,9.5,-0.07
1932,9.7,0.13
1933,10.0,0.43
1934,10.0,0.43
1935,9.6,0.03
1936,9.6,0.03
1937,9.5,-0.07
1938,10.0,0.43
1939,9.8,0.23
1940,9.7,0.13
1941,9.4,-0.17
1942,9.7,0.13
1943,10.2,0.63
1944,10.0,0.43
1945,10.7,1.13
1946,9.7,0.13
1947,9.6,0.03
1948,10.1,0.53
1949,10.6,1.03
1950,9.5,-0.07
1951,9.3,-0.27
1952,9.4,-0.17
1953,10.1,0.53
1954,9.5,-0.07
1955,9.7,0.13
1956,9.5,-0.07
1957,10.1,0.53
1958,9.7,0.13
1959,10.4,0.83
1960,9.7,0.13
1961,9.9,0.33
1962,9.1,-0.47
1963,8.9,-0.67
1964,9.8,0.23
1965,9.2,-0.37
1966,9.7,0.13
1967,9.5,-0.07
1968,9.5,-0.07
1969,9.3,-0.27
1970,9.6,0.03
1971,10.1,0.53
1972,9.1,-0.47
1973,9.8,0.23
1974,9.4,-0.17
1975,10.0,0.43
1976,9.8,0.23
1977,9.5,-0.07
1978,9.6,0.03
1979,8.8,-0.77
1980,9.5,-0.07
1981,9.6,0.03
1982,9.7,0.13
1983,10.1,0.53
1984,9.7,0.13
1985,9.2,-0.37
1986,8.8,-0.77
1987,9.4,-0.17
1988,9.8,0.23
1989,10.2,0.63
1990,10.3,0.73
1991,9.8,0.23
1992,9.8,0.23
1993,9.6,0.03
1994,9.8,0.23
1995,10.4,0.83
1996,9.5,-0.07
1997,10.6,1.03
1998,10.4,0.83
1999,10.4,0.83
2000,10.0,0.43
2001,9.9,0.33
2002,10.4,0.83
2003,10.5,0.93
2004,10.4,0.83
2005,10.6,1.03
2006,10.7,1.13
2007,10.8,1.23
2008,10.1,0.53
2009,10.1,0.53
2010,9.1,-0.47
2011,10.3,0.73
2012,10.0,0.43
2013,10.0,0.43
2014,10.5,0.93
2015,9.9,0.33
2016,10.3,0.73
2017,10.5,0.93
2018,10.3,0.73
2019,10.5,0.93
2020,10.4,0.83
2021,10.5,0.93
2022,10.9,1.33
